Date,Price,Open,High,Low,Vol.,Change %
6/25/2008,98,98,98,97.99,10.14K,0.00%
6/24/2008,98,98,98,97.99,3.10K,0.01%
6/23/2008,97.99,98,98,97.99,5.48K,0.00%
6/20/2008,97.99,98,98,98,0.82K,0.00%
6/19/2008,97.99,97.98,98,97.98,7.14K,0.01%
6/18/2008,97.98,97.98,97.98,97.98,1.20K,0.00%
6/17/2008,97.98,97.97,97.98,97.97,9.34K,0.01%
6/16/2008,97.97,97.98,97.98,97.94,9.97K,-0.01%
6/13/2008,97.98,97.98,97.99,97.98,5.37K,-0.01%
6/12/2008,97.99,97.99,97.99,97.98,2.60K,0.00%
6/11/2008,97.99,97.98,98,97.98,2.74K,0.00%
6/10/2008,97.99,97.99,97.99,97.98,6.83K,-0.01%
6/9/2008,98,98,98,97.99,4.01K,0.00%
6/6/2008,98,97.99,98,97.99,7.06K,0.00%
6/5/2008,98,97.99,98,97.99,1.76K,0.00%
6/4/2008,98,98,98,97.99,3.98K,0.00%
6/3/2008,98,98,98,97.99,5.97K,0.00%
6/2/2008,98,98,98,98,4.95K,-0.02%
5/30/2008,98.02,98.02,98.02,98.02,,0.00%
5/29/2008,98.02,98.02,98.02,98.02,3.64K,0.00%
5/28/2008,98.02,98.02,98.02,98.01,6.25K,-0.01%
5/27/2008,98.03,98.02,98.03,98.02,3.24K,0.00%
5/23/2008,98.03,98.02,98.03,98.02,1.13K,0.00%
5/22/2008,98.03,98.03,98.03,98.02,6.62K,0.00%
5/21/2008,98.03,98.03,98.03,98.03,6.30K,0.00%
5/20/2008,98.03,98.03,98.03,98.03,5.13K,0.00%
5/19/2008,98.03,98.03,98.03,98.03,6.26K,0.01%
5/16/2008,98.02,98.02,98.03,98.02,3.28K,0.00%
5/15/2008,98.02,98.02,98.02,98.02,3.69K,0.00%
5/14/2008,98.02,98.02,98.03,98.02,3.93K,0.00%
5/13/2008,98.02,98.02,98.03,98.02,9.39K,0.01%
5/12/2008,98.01,98.02,98.02,98.01,3.69K,0.00%
5/9/2008,98.01,98.01,98.02,98.01,2.77K,0.00%
5/8/2008,98.01,98.02,98.02,98.01,7.23K,0.00%
5/7/2008,98.01,98.01,98.02,98.01,10.21K,0.00%
5/6/2008,98.01,98.01,98.02,98.01,11.33K,0.01%
5/5/2008,98,98,98.01,98,38.44K,0.00%
5/2/2008,98,98.01,98.01,98,28.73K,0.00%
5/1/2008,98,98,98.02,98,38.44K,0.28%
4/30/2008,97.73,97.74,97.74,97.72,3.11K,-0.01%
4/29/2008,97.74,97.74,97.74,97.73,10.72K,0.00%
4/28/2008,97.74,97.73,97.75,97.73,10.67K,-0.01%
4/25/2008,97.75,97.75,97.75,97.73,12.90K,0.00%
4/24/2008,97.75,97.75,97.76,97.75,7.45K,0.00%
4/23/2008,97.75,97.75,97.77,97.75,11.67K,0.00%
4/22/2008,97.75,97.75,97.75,97.74,4.73K,0.00%
